x,y,ra,dec
2810.156,1670.347,246.75001315,43.48690547
2810.156,1670.347,246.75001315,43.48690547
650.236,360.325,246.72033646,43.46792989
1820.927,165.663,246.72303144,43.48075238
3425.779,900.922,246.74164072,43.49560501
2750.369,700.148,246.73540614,43.48903538
212.422,1416.235,246.73379121,43.46045875
1146.91,1372.364,246.73761455,43.47030776
27.055,398.823,246.7179495,43.46132376
2100.888,580.316,246.73051123,43.48252763
648.149,317.952,246.71970072,43.46802566
22.212,733.984,246.7228646,43.46035331
2003.314,339.024,246.72647213,43.48218262
727.098,234.29,246.7188386,43.46908299
248.91,1241.608,246.7314031,43.46131665
409.998,293.545,246.71821002,43.46560591
1986.931,1794.522,246.74785534,43.47791234
128.925,1365.706,246.73265223,43.45973025
1106.654,583.135,246.72579817,43.47208325
1502.67,25.306,246.71943263,43.47779988
